,Institute,Academic Program Name,Quota,Seat Type,Gender,CR2016,CR2017,CR2018,CR2019,CR2020,CR2022
2845,Indian Institute of Technology Roorkee,"Applied Mathematics (5 Years, Integrated Master of Science)",AI,EWS,Gender-Neutral,,,,270.0,410.0,
2846,Indian Institute of Technology Roorkee,"Applied Mathematics (5 Years, Integrated Master of Science)",AI,EWS,Female-only (including Supernumerary),,,,,2558.0,
2847,Indian Institute of Technology Roorkee,"Applied Mathematics (5 Years, Integrated Master of Science)",AI,OBC-NCL,Gender-Neutral,2061.0,1562.0,1789.0,1360.0,1132.0,
2848,Indian Institute of Technology Roorkee,"Applied Mathematics (5 Years, Integrated Master of Science)",AI,OBC-NCL,Female-only (including Supernumerary),,,2195.0,3954.0,2918.0,
2849,Indian Institute of Technology Roorkee,"Applied Mathematics (5 Years, Integrated Master of Science)",AI,SC,Gender-Neutral,1398.0,1135.0,1122.0,1570.0,1237.0,
2850,Indian Institute of Technology Roorkee,"Applied Mathematics (5 Years, Integrated Master of Science)",AI,SC,Female-only (including Supernumerary),,,1841.0,1985.0,1890.0,
2851,Indian Institute of Technology Roorkee,"Applied Mathematics (5 Years, Integrated Master of Science)",AI,ST,Gender-Neutral,710.0,708.0,909.0,797.0,806.0,
2852,Indian Institute of Technology Roorkee,"Bio Technology (4 Years, Bachelor of Technology)",AI,OPEN,Gender-Neutral,6255.0,6459.0,7074.0,7566.0,7675.0,
2853,Indian Institute of Technology Roorkee,"Bio Technology (4 Years, Bachelor of Technology)",AI,OPEN,Female-only (including Supernumerary),,,9613.0,9982.0,10894.0,
2854,Indian Institute of Technology Roorkee,"Bio Technology (4 Years, Bachelor of Technology)",AI,EWS,Gender-Neutral,,,,732.0,1637.0,
2855,Indian Institute of Technology Roorkee,"Bio Technology (4 Years, Bachelor of Technology)",AI,EWS,Female-only (including Supernumerary),,,,1780.0,2572.0,
2856,Indian Institute of Technology Roorkee,"Bio Technology (4 Years, Bachelor of Technology)",AI,OBC-NCL,Gender-Neutral,2975.0,2896.0,3346.0,3358.0,3790.0,
2857,Indian Institute of Technology Roorkee,"Bio Technology (4 Years, Bachelor of Technology)",AI,OBC-NCL,Female-only (including Supernumerary),,,5621.0,5688.0,7442.0,
2858,Indian Institute of Technology Roorkee,"Bio Technology (4 Years, Bachelor of Technology)",AI,SC,Gender-Neutral,1704.0,1899.0,1741.0,2096.0,2070.0,
2859,Indian Institute of Technology Roorkee,"Bio Technology (4 Years, Bachelor of Technology)",AI,SC,Female-only (including Supernumerary),,,2290.0,2785.0,2683.0,
2860,Indian Institute of Technology Roorkee,"Chemistry (5 Years, Integrated Master of Science)",AI,OPEN,Gender-Neutral,,8601.0,10610.0,10541.0,11999.0,
2861,Indian Institute of Technology Roorkee,"Chemistry (5 Years, Integrated Master of Science)",AI,OPEN,Female-only (including Supernumerary),,,12806.0,15909.0,17187.0,
2862,Indian Institute of Technology Roorkee,"Chemistry (5 Years, Integrated Master of Science)",AI,EWS,Gender-Neutral,,,,1271.0,2290.0,
2863,Indian Institute of Technology Roorkee,"Chemistry (5 Years, Integrated Master of Science)",AI,EWS,Female-only (including Supernumerary),,,,,4469.0,
2864,Indian Institute of Technology Roorkee,"Chemistry (5 Years, Integrated Master of Science)",AI,OBC-NCL,Gender-Neutral,,3681.0,4215.0,4642.0,5352.0,
2865,Indian Institute of Technology Roorkee,"Chemistry (5 Years, Integrated Master of Science)",AI,OBC-NCL,Female-only (including Supernumerary),,,6782.0,7505.0,4741.0,
